x,y,k,s
66.31383213812697,9.277425830046887,-0.18615040953090098,71.57199999999999
66.54844363501257,9.214208921296208,-0.18615040953090098,71.81499999999998
66.77995653267782,9.140447751040139,-0.18615040953090098,72.05799999999999
67.00789719842628,9.056293221031073,-0.18615040953090098,72.30099999999999
67.23179930768931,8.961917495918858,-0.18615040953090098,72.54399999999998
67.45120479804015,8.857513651033681,-0.18615040953090098,72.78699999999999
67.66566480630507,8.743295277389551,-0.18615040953090098,73.02999999999999
67.87474058685473,8.61949604471646,-0.18615040953090098,73.273
68.07800440919684,8.486369223415213,-0.18615040953090098,73.51599999999999
68.27504043303382,8.344187166412892,-0.18615040953090098,73.75899999999999
68.4654455589954,8.193240751978987,-0.18615040953090098,74.002
68.64883025330559,8.033838788642102,-0.18615040953090098,74.24499999999999
68.82481934469698,7.866307383424644,-0.18615040953090098,74.48799999999999
68.99305279194186,7.690989274687996,-0.18615040953090098,74.731
69.15318642043039,7.5082431309530335,-0.18615040953090098,74.97399999999999
69.30489262628812,7.318442817130464,-0.18615040953090098,75.21699999999998
69.44786104659336,7.121976629662174,-0.18615040953090098,75.46
69.58179919432227,6.919246502138302,-0.18615040953090098,75.70299999999999
69.70643305672353,6.710667183015234,-0.18615040953090098,75.94599999999998
69.8215076558978,6.496665387116751,-0.18615040953090098,76.189
69.93409976999807,6.2754261540581995,0,76.43724137931034
70.04669188409832,6.054186920999648,0,76.68548275862068
70.15928399819859,5.832947687941096,0,76.93372413793102
70.27187611229886,5.611708454882544,0,77.18196551724137
70.38446822639911,5.390469221823993,0,77.43020689655172
70.49706034049937,5.169229988765442,0,77.67844827586207
70.60965245459964,4.94799075570689,0,77.92668965517241
70.72224456869989,4.726751522648338,0,78.17493103448275
70.83483668280016,4.505512289589786,0,78.4231724137931
70.94742879690043,4.284273056531235,0,78.67141379310344
71.06002091100068,4.063033823472683,0,78.91965517241378
71.17261302510094,3.8417945904141315,0,79.16789655172413
71.28520513920121,3.6205553573555798,0,79.41613793103447
71.39779725330146,3.3993161242970285,0,79.66437931034483
71.51038936740173,3.1780768912384767,0,79.91262068965517
71.622981481502,2.956837658179925,0,80.16086206896551
71.73557359560225,2.735598425121373,0,80.40910344827586
71.84816570970251,2.5143591920628214,0,80.6573448275862
71.96075782380278,2.2931199590042706,0,80.90558620689654
72.07334993790303,2.071880725945718,0,81.15382758620689
72.1859420520033,1.850641492887167,0,81.40206896551723
72.29853416610356,1.6294022598286153,0,81.65031034482757
72.41112628020383,1.4081630267700636,0,81.89855172413792
72.52371839430408,1.1869237937115118,0,82.14679310344827
72.63631050840435,0.9656845606529609,0,82.39503448275862
72.74890262250462,0.7444453275944083,0,82.64327586206896
72.86149473660487,0.5232060945358574,0,82.8915172413793
72.97408685070513,0.30196686147730567,0,83.13975862068965
73.0866789648054,0.08072762841875392,0,83.38799999999999
73.20257745783728,-0.13489185791015235,0.18341892883345562,83.63281481481481
73.3280379782242,-0.34509148064065753,0.18341892883345562,83.87762962962962
73.46280759744432,-0.5494474771444691,0.18341892883345562,84.12244444444444
73.60661461982421,-0.7475478655490169,0.18341892883345562,84.36725925925926
73.75916913027754,-0.938993275293281,0.18341892883345562,84.61207407407406
73.92016357877417,-1.123397752259201,0.18341892883345562,84.85688888888888
74.08927340036124,-1.3003895368555218,0.18341892883345562,85.10170370370369
74.26615766948652,-1.4696118134854665,0.18341892883345562,85.34651851851851
74.45045978730448,-1.630723429887302,0.18341892883345562,85.59133333333332
74.64180820058004,-1.7833995848975985,0.18341892883345562,85.83614814814814
74.8398171507401,-1.9273324832506753,0.18341892883345562,86.08096296296296
75.04408745156321,-2.062231956094123,0.18341892883345562,86.32577777777777
75.25420729393937,-2.187826045969484,0.18341892883345562,86.57059259259259
75.46975307607757,-2.303861555078718,0.18341892883345562,86.81540740740739
75.69029025748732,-2.4101045557312024,0.18341892883345562,87.06022222222221
75.91537423501276,-2.5063408619421588,0.18341892883345562,87.30503703703702
76.14455123915296,-2.592376461231798,0.18341892883345562,87.54985185185184
76.37735924886165,-2.668037905754647,0.18341892883345562,87.79466666666666
76.61332892298206,-2.733172661970563,0.18341892883345562,88.03948148148147
76.85198454643917,-2.7876494181524927,0.18341892883345562,88.28429629629629
77.09284498928163,-2.831358349111023,0.18341892883345562,88.5291111111111
77.33542467664026,-2.8642113376020686,0.18341892883345562,88.77392592592592
77.57923456764739,-2.8861421519713137,0.18341892883345562,89.01874074074072
77.82378314134367,-2.8971065796772835,0.18341892883345562,89.26355555555554
78.0685773875848,-2.8970825164238714,0.18341892883345562,89.50837037037036
78.31312380095041,-2.886070010722617,0.18341892883345562,89.75318518518517
78.55692937565142,-2.864091263794911,0.18341892883345562,89.99799999999999
78.80530679136372,-2.8360661730107624,0,90.24795348837209
79.05368420707602,-2.8080410822266137,0,90.49790697674418
79.3020616227883,-2.7800159914424656,0,90.74786046511628
79.5504390385006,-2.751990900658317,0,90.99781395348836
79.7988164542129,-2.7239658098741684,0,91.24776744186046
80.0471938699252,-2.6959407190900198,0,91.49772093023255
80.2955712856375,-2.6679156283058716,0,91.74767441860465
80.54394870134978,-2.639890537521723,0,91.99762790697673
80.79232611706207,-2.6118654467375744,0,92.24758139534883
81.04070353277437,-2.5838403559534258,0,92.49753488372092
81.28908094848667,-2.5558152651692776,0,92.74748837209302
81.53745836419897,-2.527790174385129,0,92.9974418604651
81.78583577991125,-2.4997650836009804,0,93.2473953488372
82.03421319562355,-2.4717399928168318,0,93.49734883720929
82.28259061133585,-2.443714902032683,0,93.74730232558139
82.53096802704815,-2.415689811248535,0,93.99725581395347
82.77934544276044,-2.3876647204643864,0,94.24720930232557
83.02772285847273,-2.3596396296802378,0,94.49716279069767
83.27610027418503,-2.3316145388960896,0,94.74711627906976
83.52447768989732,-2.303589448111941,0,94.99706976744186
83.77285510560962,-2.2755643573277924,0,95.24702325581394
84.02123252132192,-2.2475392665436438,0,95.49697674418604
84.2696099370342,-2.219514175759495,0,95.74693023255813
84.5179873527465,-2.191489084975347,0,95.99688372093023
84.7663647684588,-2.1634639941911984,0,96.24683720930231
85.0147421841711,-2.13543890340705,0,96.49679069767441
85.2631195998834,-2.107413812622901,0,96.7467441860465
85.51149701559568,-2.079388721838753,0,96.9966976744186
85.75987443130798,-2.0513636310546044,0,97.24665116279068
